country_name,country_code,year,subject,mean_score
Albania,ALB,2000,Mathematics,381.0
Albania,ALB,2009,Mathematics,377.46
Albania,ALB,2012,Mathematics,394.33
Albania,ALB,2015,Mathematics,413.16
Albania,ALB,2018,Mathematics,437.22
Albania,ALB,2000,Reading,348.85
Albania,ALB,2009,Reading,384.82
Albania,ALB,2012,Reading,393.96
Albania,ALB,2015,Reading,405.26
Albania,ALB,2018,Reading,405.43
Albania,ALB,2000,Science,376.45
Albania,ALB,2009,Science,390.7
Albania,ALB,2012,Science,397.37
Albania,ALB,2015,Science,427.23
Albania,ALB,2018,Science,416.73
Algeria,DZA,2015,Mathematics,359.61
Algeria,DZA,2015,Reading,349.86
Algeria,DZA,2015,Science,375.75
Argentina,ARG,2000,Mathematics,388.0
Argentina,ARG,2006,Mathematics,381.25
Argentina,ARG,2009,Mathematics,388.07
Argentina,ARG,2012,Mathematics,388.43
Argentina,ARG,2015,Mathematics,409.03
Argentina,ARG,2018,Mathematics,379.45
Argentina,ARG,2000,Reading,418.25
Argentina,ARG,2006,Reading,373.72
Argentina,ARG,2009,Reading,398.26
Argentina,ARG,2012,Reading,395.98
Argentina,ARG,2015,Reading,425.3
Argentina,ARG,2018,Reading,401.5
Argentina,ARG,2000,Science,396.17
Argentina,ARG,2006,Science,391.24
Argentina,ARG,2009,Science,400.84
Argentina,ARG,2012,Science,405.63
Argentina,ARG,2015,Science,432.23
Argentina,ARG,2018,Science,404.07
Australia,AUS,2000,Mathematics,533.0
Australia,AUS,2003,Mathematics,524.27
Australia,AUS,2006,Mathematics,519.91
Australia,AUS,2009,Mathematics,514.34
Australia,AUS,2012,Mathematics,504.15
Australia,AUS,2015,Mathematics,493.9
Australia,AUS,2018,Mathematics,491.36
Australia,AUS,2000,Reading,528.28
Australia,AUS,2003,Reading,525.43
Australia,AUS,2006,Reading,512.89
Australia,AUS,2009,Reading,514.9
Australia,AUS,2012,Reading,511.8
Australia,AUS,2015,Reading,502.9
